DC_POWER,AC_POWER,HOUR,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION
0.0,0.0,0.0,25.184316133333333,22.8575074,0.0
0.0,0.0,0.0,25.08458866666667,22.761667866666663,0.0
0.0,0.0,0.0,24.935752600000004,22.59230553333333,0.0
0.0,0.0,0.0,24.8461304,22.36085213333333,0.0
0.0,0.0,1.0,24.621525357142858,22.165422642857145,0.0
0.0,0.0,1.0,24.5360922,21.968570866666667,0.0
0.0,0.0,1.0,24.638673866666664,22.352925666666668,0.0
0.0,0.0,1.0,24.87302233333333,23.1609192,0.0
0.0,0.0,2.0,24.936930466666663,23.026113,0.0
0.0,0.0,2.0,25.0122476,23.343229266666665,0.0
0.0,0.0,2.0,25.005149333333332,23.639459266666663,0.0
0.0,0.0,2.0,24.993019533333328,24.0394858,0.0
0.0,0.0,3.0,25.016309428571425,24.384135571428573,0.0
0.0,0.0,3.0,24.985215266666664,24.35150773333333,0.0
0.0,0.0,3.0,24.93773193333333,24.060296533333336,0.0
0.0,0.0,3.0,24.87909953333333,23.709794133333336,0.0
0.0,0.0,4.0,24.6789022,22.58994153333333,0.0
0.0,0.0,4.0,24.3519308,21.78364253333333,0.0
0.0,0.0,4.0,24.0626222,21.85252493333333,0.0
0.0,0.0,4.0,24.013224200000003,22.306315,0.0
0.0,0.0,5.0,24.1771058,22.551908466666664,0.0
0.0,0.0,5.0,24.304888,22.979492071428577,0.0
0.0,0.0,5.0,24.328727266666665,23.452380466666668,0.0
0.0,0.0,5.0,24.28921113333333,23.09669193333333,0.0008627212413333
44.864229025238096,4.329960317523809,6.0,24.088446066666663,22.2067566,0.0058869571866666
292.48100906190473,28.254223356190476,6.0,24.01163526666667,22.35345866666667,0.0222816074666666
694.1433982636364,67.28157467545454,6.0,23.976731266666665,22.893282,0.0494097238666666
1301.2086039545454,126.83855519545455,6.0,24.21899,24.442443933333333,0.0953944536
1879.3597403181818,184.21191558636363,7.0,24.5373984,27.185652866666665,0.1419404433333333
